answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3414,absa_sentiment_3414,absa_scores_3414,absa_token_weights_3462,absa_sentiment_3462,absa_scores_3462,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
50.0,75.0,57.0,0.0,neutral,"RT @ArnoKerstSyna: DV @TravailsuisseCH : 
- Gegen die #Kuendigungsinitiative 
- Für den #Vaterschaftsurlaub 
- Für den Erhalt von Arbeitspl…",dv kuendigungsinitiative vaterschaftsurlaub erhalt arbeitspl,"{'DV': 0.09, 'Gegen': 0.13, 'die': 0.07, 'Kuendigungsinitiative': 0, 'Für': 0.1, 'den': 0.07, 'Vaterschaftsurlaub': 0.83, 'Erhalt': 0, 'von': 0, 'Arbeitspl': 0, '…': 0}",positive,"[0.0019410976, 0.0034095277, 0.99464935]",,,,,,,neutral
0.0,0.0,0.0,-1.0,neutral,"RT @beatflach: Die #FDP hat heut die Vorlage für einen #Vaterschaftsurlaub auch mit der Begründung abgelehnt, es brauche eine Elternzeit. A…",fdp heut vorlage vaterschaftsurlaub begründung ablehnen brauche elternzeit a,"{'Die': 0.05, 'FDP': 0.27, 'hat': 0, 'heut': 0.1, 'die': 0.05, 'Vorlage': 0, 'für': 0.32, 'einen': 0.06, 'Vaterschaftsurlaub': 0.09, 'auch': 0, 'mit': 0, 'der': 0.05, 'Begründung': 0, 'abgelehnt': 0, 'es': 0, 'brauche': 0, 'eine': 0, 'Elternzeit': 0.095, 'A': 0.06, '…': 0}",neutral,"[0.46110746, 0.45131367, 0.08757889]",,,,,,,negative
0.0,0.0,14.0,-0.7,negative,"RT @marionnasch: Das Geschäft mit #Kriegsmaterial ist intransparent und schmutzig, da nützen auch strenge Exportregeln nichts. Erst recht n…",geschäft kriegsmaterial intransparent schmutzig nützen streng exportregeln erst recht n,,,,"{'Das': 0.15, 'Geschäft': 0, 'mit': 0.13, 'Kriegsmaterial': 0.735, 'ist': 0.42, 'intransparent': 0, 'und': 0.37, 'schmutzig': 1.0, 'da': 0, 'nützen': 0, 'auch': 0, 'strenge': 0.15, 'Exportregeln': 0, 'nichts': 0, 'Erst': 0, 'recht': 0, 'n': 0.05, '…': 0}",negative,"[0.20829439, 0.6861932, 0.10551242]",,,,negative
100.0,100.0,100.0,1.0,neutral,"RT @Schneimere: An der Demo für eine nachhaltige Landwirtschaft💪 Toll, dass wir so engagierte, eloquente Bauern wie ⁦@Kilian_Baumann⁩  in d…",demo nachhaltig landwirtschaft tollen engagieren eloquente bauern d,,,,,,,"{'An': 0, 'der': 0.1, 'Demo': 0, 'für': 0.42, 'eine': 0, 'nachhaltige': 1.0, 'Landwirtschaft': 1.0, 'Toll': 0, 'dass': 0.07, 'wir': 0, 'so': 0, 'engagierte': 0.12, 'eloquente': 0.2, 'Bauern': 0.27, 'wie': 0, '\u2066\u2069': 0, 'in': 0, 'd': 0, '…': 0}",positive,"[0.0015262947, 0.0012819828, 0.9971917]",positive
