answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3441,absa_sentiment_3441,absa_scores_3441,absa_token_weights_3467,absa_sentiment_3467,absa_scores_3467,absa_token_weights_3477,absa_sentiment_3477,absa_scores_3477,sentiment_tb
50.0,75.0,57.0,0.0,neutral,"RT @b_vanvulpen: Deutliches Ja zum CO₂-Gesetz in BS und erster gesetzlicher Mindestlohn in einem deutschsprachigen Kanton! 👍
#abstBS #minde…",deutlich ja co₂ gesetz bs erst gesetzlich mindestlohn deutschsprachig kanton abstbs minde,"{'Deutliches': 0.1, 'Ja': 0.2, 'zum': 0.165, 'CO₂-Gesetz': 0.26, 'in': 0.15, 'BS': 0.1, 'und': 0.2, 'erster': 0.68, 'gesetzlicher': 0, 'Mindestlohn': 0.8400000000000001, 'einem': 0, 'deutschsprachigen': 0.125, 'Kanton': 0.13, 'abstBS': 0.14, 'minde': 0, '…': 0}",positive,"[0.2570571, 0.013283746, 0.72965914]",,,,,,,neutral
50.0,75.0,57.0,0.0,neutral,Der Kanton BS führt einen kantonalen Mindestlohn ein. Ein riesen Schritt weiter im Kampf um gerechte Löhne für alle!  #abstBS,kanton bs führen kantonalen mindestlohn riesen schritt weit kampf gerecht löhnen all abstbs,"{'Der': 0.08, 'Kanton': 0.18, 'BS': 0.15, 'führt': 0, 'einen': 0.16, 'kantonalen': 0.64, 'Mindestlohn': 0.56, 'ein': 0, 'Ein': 0.16, 'riesen': 0, 'Schritt': 0.12, 'weiter': 0.15, 'im': 0, 'Kampf': 0, 'um': 0.16, 'gerechte': 0.4, 'Löhne': 0.13, 'für': 0.06, 'alle': 0.1, 'abstBS': 0.1}",positive,"[0.19932163, 0.035764486, 0.7649138]",,,,,,,neutral
100.0,100.0,86.0,0.7,negative,"Basel hat's verstanden:
""S'Ozeanium isch kei Umweltschutz - NEI zum Fischtank gopfridschtutz.""
Das NOzeanium motiviert mich, weiter zu politisieren.",basel s verstehen s ozeanium isch kei umweltschutz nei fischtank gopfridschtutz nozeanium motivieren weit politisieren,,,,"{'Basel': 0.06, ""hat's"": 0, 'verstanden': 0, ""S'Ozeanium"": 0, 'isch': 0, 'kei': 0, 'Umweltschutz': 0.705, 'NEI': 0.1, 'zum': 0.065, 'Fischtank': 0.04, 'gopfridschtutz': 0.21, 'Das': 0.1, 'NOzeanium': 0.29, 'motiviert': 0, 'mich': 0.04, 'weiter': 0, 'zu': 0.03, 'politisieren': 0}",negative,"[0.34960192, 0.47434402, 0.17605408]",,,,positive
75.0,100.0,86.0,0.5666666666666667,negative,"Nein zum Ozeanium! Dass sich das Klima erhitzt und deshalb die Meere sterben, wissen wir doch schon lange. Wir brauchen keine Sensibilisierung mehr. Was wir aber dringend brauchen ist echter Umweltschutz. Meere schützen, wo sie sind. https://t.co/Mhf2CRF3Sl",nein ozeanium klima erhitzen deshalb meere sterben wissen schon lang brauchen sensibilisierung mehr dringen brauchen echt umweltschutz meere schützen,,,,"{'Nein': 0.02, 'zum': 0.015, 'Ozeanium': 0, 'Dass': 0.02, 'sich': 0, 'das': 0.02, 'Klima': 0.03, 'erhitzt': 0, 'und': 0.01, 'deshalb': 0.01, 'die': 0.02, 'Meere': 0.03, 'sterben': 0.01, 'wissen': 0.01, 'wir': 0, 'doch': 0, 'schon': 0, 'lange': 0.02, 'Wir': 0.05, 'brauchen': 0.505, 'keine': 0, 'Sensibilisierung': 0.07, 'mehr': 0.03, 'Was': 0, 'aber': 0.1, 'dringend': 0.13, 'ist': 0.26, 'echter': 0, 'Umweltschutz': 0.43999999999999995, 'schützen': 0.58, 'wo': 0.03, 'sie': 0, 'sind': 0.02}",positive,"[0.00092905597, 0.0012879242, 0.997783]",,,,positive
75.0,75.0,71.0,0.3333333333333333,neutral,"@bzBasel @EymannStephanie 1.: Vertrauen gewinnt man nicht mit Gummischrot zurück. 
2.: Die Bewilligungspflicht steht in der Verordnung über Strassenverkehr. Wollen Sie @EymannStephanie  wirklich damit beginnen, die Strassenverkehrsverordnung mit Gummischrot durchzusetzen? Das nenne ich unverhältnismässig.",vertrauen gewinnen gummischrot zurück bewilligungspflicht stehen verordnung strassenverkehr wirklich beginnen strassenverkehrsverordnung gummischrot durchsetzen nennen unverhältnismässig,,,,,,,"{'1.': 0, 'Vertrauen': 0.02, 'gewinnt': 0, 'man': 0, 'nicht': 0, 'mit': 0.05, 'Gummischrot': 0.025, 'zurück': 0, '2.': 0, 'Die': 0.06, 'Bewilligungspflicht': 0.095, 'steht': 0, 'in': 0.15, 'der': 0.06, 'Verordnung': 1.0, 'über': 0, 'Strassenverkehr': 0.05, 'Wollen': 0.02, 'Sie': 0, 'wirklich': 0.02, 'damit': 0.08, 'beginnen': 0.025, 'die': 0.06, 'Strassenverkehrsverordnung': 0.05, 'durchzusetzen': 0, 'Das': 0.06, 'nenne': 0.04, 'ich': 0.01, 'unverhältnismässig': 0.12}",neutral,"[0.6209359, 0.028168937, 0.3508951]",positive
