answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
50.0,75.0,57.0,0.0,neutral,"RT @CVP_GR: Auftakt zur Februarsession mit dem Regierungsprogramm und dem Finanzplan 2021-2024 mit den Schwerpunkten Digitalisierung, Green…",auftakt februarsession regierungsprogramm finanzplan schwerpunkten digitalisierung green,"{'Auftakt': 0, 'zur': 0.05, 'Februarsession': 0.05, 'mit': 0.14, 'dem': 0.05, 'Regierungsprogramm': 0.05, 'und': 0.07, 'Finanzplan': 0.085, '2021': 0, '2024': 0, 'den': 0.05, 'Schwerpunkten': 0, 'Digitalisierung': 0, 'Green': 0.66, '…': 0}",positive,"[0.0033682343, 0.0015999852, 0.9950317]",,,,neutral
50.0,75.0,57.0,0.0,neutral,RT @mcaduff: #Landwirtschaft trifft auf #Tourismus in #Breil @PradasResort https://t.co/txnHD86voT,landwirtschaft treffen tourismus breil,,,,"{'Landwirtschaft': 1.0, 'trifft': 1.0, 'auf': 0, 'Tourismus': 0.42, 'in': 0.42, 'Breil': 0.27}",positive,"[0.14440307, 0.0054712556, 0.8501257]",neutral
