answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3434,absa_sentiment_3434,absa_scores_3434,absa_token_weights_3479,absa_sentiment_3479,absa_scores_3479,sentiment_tb
50.0,75.0,57.0,0.0,neutral,"RT @JUSOBS: Zusammen mit 20'000 Demonstrierenden haben wir heute in Bern #Lohngleichheit gefordert. 
#enough18 https://t.co/dcbFbUcsaI",zusammen demonstrierend heute bern lohngleichheit fordern enough18,"{'Zusammen': 0.39, 'mit': 0.14, ""20'000"": 0, 'Demonstrierenden': 0, 'haben': 0, 'wir': 0, 'heute': 0.17, 'in': 0.11, 'Bern': 0.27, 'Lohngleichheit': 0.99, 'gefordert': 0, 'enough18': 0.36}",neutral,"[0.96977466, 0.008806737, 0.02141861]",,,,neutral
100.0,100.0,86.0,0.7,neutral,"RT @srfnews: Landwirtschaftlicher #Methangas-Ausstoss nimmt stark zu. So stark, dass die Klimaziele in Gefahr sind. #Climat https://t.co/vf…",landwirtschaftlich methangas ausstoss nehmen stark stark klimaziele gefahr climat,,,,"{'Landwirtschaftlicher': 0.12, 'Methangas-Ausstoss': 0.0625, 'nimmt': 0, 'stark': 0, 'zu': 0, 'So': 0.09, 'dass': 0.05, 'die': 0.04, 'Klimaziele': 0.06, 'in': 0.04, 'Gefahr': 0.11, 'sind': 0.06, 'Climat': 0}",negative,"[0.19950068, 0.688082, 0.11241738]",positive
