answer_five,answer_four,answer_seven,polarity,sentiment_gs,tweet,tweet_tokens,absa_token_weights_3412,absa_sentiment_3412,absa_scores_3412,absa_token_weights_3466,absa_sentiment_3466,absa_scores_3466,sentiment_tb
50.0,75.0,57.0,0.0,neutral,"Eine 13. AHV... und ich dachte, ich bekäme wenigstens noch ein paar Rappen Rente im Alter! Wir brauchen eine nachhaltige AHV Reform und zwar jetzt! 
#ahvreform #flexiblesrentenalter #darumliberal

https://t.co/n6AAYsWcV5",ahv denken bekommen wenigstens paar rappen rente altern brauchen nachhaltig ahv reform ahvreform flexiblesrentenalter darumliberal,"{'Eine': 0, '13.': 0, 'AHV': 0.06, '...': 0, 'und': 0.03, 'ich': 0.02, 'dachte': 0.04, 'bekäme': 0, 'wenigstens': 0.035, 'noch': 0, 'ein': 0, 'paar': 0, 'Rappen': 0, 'Rente': 0, 'im': 0, 'Alter': 0, 'Wir': 0.03, 'brauchen': 0.03, 'eine': 0, 'nachhaltige': 0.05, 'Reform': 0.06, 'zwar': 0, 'jetzt': 0.03, 'ahvreform': 0.06, 'flexiblesrentenalter': 0.09, 'darumliberal': 0}",positive,"[0.43546396, 0.06987159, 0.49466452]",,,,neutral
100.0,100.0,100.0,1.0,neutral,"Umsichtiges Zitat von @marcel_baur an der Podiumsdiskussion zur zukünftigen Stadtpolitik und dem Digitalisierungshype: ""Man sollte nicht ein Werkzeug nehmen und dann ein Problem suchen, sondern ein Problem nehmen und dann ein geeignetes Werkzeug suchen, ob analog oder digital. """,umsichtig zitat podiumsdiskussion zukünftig stadtpolitik digitalisierungshype sollen werkzeug nehmen problem suchen problem nehmen geeignet werkzeug suchen analog digital,,,,"{'Umsichtiges': 0, 'Zitat': 0.02, 'von': 0.01, 'an': 0, 'der': 0.01, 'Podiumsdiskussion': 0.02, 'zur': 0.01, 'zukünftigen': 0.02, 'Stadtpolitik': 0.04, 'und': 0.02, 'dem': 0.01, 'Digitalisierungshype': 0.06, 'Man': 0, 'sollte': 0, 'nicht': 0, 'ein': 0, 'Werkzeug': 0.16, 'nehmen': 0.01, 'dann': 0.03, 'Problem': 0.05, 'suchen': 0, 'sondern': 0.02, 'geeignetes': 0.07, 'ob': 0, 'analog': 1.0, 'oder': 0.28, 'digital': 1.0}",neutral,"[0.7622131, 0.06998764, 0.16779919]",positive
